Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,7,1,5,4,8,9,2,6,3,10,,"[77,77,98,81]","[46,33,42,47]","[50,95,75,69]","[73,86,75,96]","[95,142,125,94]","[98,111,123,81]","[73,57,61,79]","[52,73,55,25]","[77,77,75,114]","[42,40,50,59]"
J2,4,10,7,6,1,9,5,3,8,2,,"[49,47,55,44]","[117,72,75,77]","[95,73,85,77]","[60,40,48,50]","[82,101,118,117]","[120,118,99,93]","[91,116,88,120]","[100,120,119,105]","[81,82,66,70]","[72,91,82,86]"
J3,5,2,9,1,8,7,6,4,10,3,,"[76,94,86,54]","[75,110,115,126]","[83,103,47,90]","[90,69,121,55]","[27,28,30,40]","[44,36,59,60]","[27,40,52,32]","[34,28,31,36]","[41,42,43,47]","[81,83,67,92]"
J4,10,2,5,4,9,3,7,1,8,6,,"[52,41,56,44]","[112,106,122,107]","[57,73,97,65]","[42,76,86,68]","[58,87,73,62]","[124,124,103,127]","[129,129,148,102]","[104,102,132,107]","[79,52,73,94]","[105,114,78,88]"
J5,4,3,7,10,8,1,5,6,2,9,,"[99,131,104,128]","[60,77,74,87]","[94,47,75,68]","[62,40,60,53]","[135,108,106,105]","[64,61,56,49]","[49,51,50,43]","[50,78,62,70]","[46,48,57,52]","[43,35,25,53]"
J6,2,5,1,3,10,7,8,9,6,4,,"[102,101,82,96]","[64,55,74,54]","[103,85,80,86]","[81,109,63,82]","[53,56,57,54]","[75,109,108,111]","[135,109,100,150]","[26,26,14,29]","[70,83,82,66]","[91,124,95,95]"
J7,2,4,1,3,10,8,9,5,7,6,,"[49,47,52,55]","[34,45,39,39]","[83,44,82,72]","[134,124,73,124]","[24,37,43,27]","[44,51,49,74]","[78,81,61,86]","[55,37,37,40]","[71,73,102,65]","[102,90,87,87]"
J8,6,4,7,2,1,8,9,10,3,5,,"[49,59,90,113]","[55,60,59,44]","[50,58,74,77]","[69,83,96,60]","[53,59,68,76]","[86,109,87,95]","[38,29,36,37]","[97,70,119,112]","[56,92,82,95]","[81,65,70,64]"
J9,2,1,8,5,4,6,10,9,7,3,,"[31,31,20,28]","[110,120,118,73]","[123,95,132,148]","[73,79,56,59]","[77,58,48,72]","[95,111,109,60]","[45,34,40,33]","[69,61,80,79]","[78,77,92,68]","[35,31,28,41]"
J10,5,9,3,4,2,7,8,10,6,1,,"[80,73,104,92]","[30,59,36,37]","[94,84,106,106]","[34,40,26,36]","[125,127,79,79]","[35,93,101,134]","[65,80,71,81]","[87,95,110,109]","[130,125,116,128]","[34,31,41,24]"
