Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,8,10,1,7,5,9,3,6,2,4,,"[106,59,82]","[119,125,152]","[72,80,105]","[102,77,80]","[89,88,78]","[94,105,73]","[85,57,82]","[86,78,91]","[120,100,104]","[28,36,32]"
J2,7,9,4,1,2,5,6,10,3,8,,"[53,58,60]","[35,34,37]","[78,79,108]","[107,125,128]","[91,73,91]","[60,40,53]","[63,56,58]","[59,38,45]","[86,97,90]","[85,48,91]"
J3,2,4,6,5,1,3,7,9,10,8,,"[31,16,24]","[80,76,76]","[36,45,46]","[70,45,54]","[125,123,91]","[57,87,60]","[51,37,37]","[56,47,27]","[57,47,34]","[76,33,65]"
J4,2,8,5,7,6,1,9,4,10,3,,"[62,60,65]","[76,84,96]","[57,51,47]","[57,59,52]","[141,93,75]","[102,107,87]","[47,70,72]","[76,78,74]","[112,84,71]","[80,103,97]"
J5,8,3,9,6,2,7,4,1,10,5,,"[30,34,35]","[46,55,39]","[111,136,119]","[101,160,135]","[59,61,50]","[95,111,57]","[40,25,52]","[65,76,61]","[54,56,54]","[49,55,52]"
J6,9,1,5,6,10,2,8,7,4,3,,"[78,76,70]","[38,40,30]","[87,85,131]","[59,64,63]","[60,96,78]","[65,103,94]","[75,97,91]","[80,121,108]","[96,83,90]","[124,118,163]"
J7,7,3,9,2,10,5,8,1,6,4,,"[38,56,47]","[80,50,98]","[99,78,80]","[102,104,116]","[66,55,61]","[57,43,43]","[113,88,143]","[76,98,83]","[124,77,64]","[63,54,81]"
J8,9,8,6,4,3,5,10,2,1,7,,"[68,26,47]","[63,59,84]","[127,75,135]","[106,80,117]","[73,55,48]","[59,64,99]","[69,41,59]","[41,54,69]","[81,56,92]","[75,63,80]"
J9,5,1,10,6,8,4,3,9,7,2,,"[67,72,41]","[42,63,65]","[86,64,91]","[95,108,122]","[62,58,98]","[85,60,93]","[79,77,108]","[39,30,39]","[56,61,62]","[44,36,56]"
J10,10,1,4,9,2,7,3,6,5,8,,"[35,26,45]","[81,100,94]","[48,95,82]","[75,67,46]","[108,101,78]","[91,85,88]","[135,115,128]","[68,121,91]","[62,66,73]","[60,64,56]"
J11,8,4,5,6,3,7,1,10,2,9,,"[108,94,91]","[69,63,86]","[78,93,98]","[46,31,47]","[115,106,132]","[114,81,81]","[149,100,98]","[33,35,32]","[94,64,111]","[54,59,90]"
J12,1,4,3,8,9,6,10,2,7,5,,"[125,125,92]","[23,38,28]","[45,53,49]","[51,27,49]","[42,51,60]","[57,50,35]","[63,62,81]","[41,27,33]","[89,99,94]","[86,80,84]"
J13,10,2,4,7,3,9,8,1,6,5,,"[43,53,68]","[60,98,65]","[81,25,53]","[57,65,59]","[104,102,92]","[34,60,60]","[43,40,35]","[41,69,63]","[60,58,59]","[95,74,102]"
J14,5,3,6,7,9,8,4,2,1,10,,"[47,47,57]","[77,65,84]","[76,59,72]","[59,78,58]","[81,72,59]","[28,32,30]","[154,136,148]","[52,40,24]","[66,51,63]","[95,87,127]"
J15,3,6,10,9,1,7,4,8,2,5,,"[73,67,52]","[49,78,42]","[103,113,115]","[131,98,108]","[55,39,34]","[63,61,87]","[67,65,81]","[35,43,45]","[72,102,91]","[58,45,33]"
