Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5
J1,1,4,2,5,3,"[30,40]","[81,90]","[46,46]","[76,91]","[130,101]"
J2,5,3,1,2,4,"[26,46]","[129,98]","[41,50]","[88,129]","[107,111]"
J3,2,3,5,1,4,"[121,100]","[65,124]","[69,75]","[51,84]","[91,98]"
J4,3,2,5,1,4,"[79,48]","[124,99]","[44,50]","[63,54]","[129,99]"
J5,5,1,4,3,2,"[63,82]","[40,42]","[107,89]","[93,87]","[100,65]"
J6,2,1,5,4,3,"[64,51]","[77,102]","[131,108]","[87,77]","[129,111]"
J7,5,2,4,1,3,"[97,83]","[91,142]","[76,63]","[70,77]","[113,124]"
J8,2,1,3,4,5,"[106,94]","[70,70]","[52,25]","[84,100]","[75,71]"
J9,5,1,3,2,4,"[139,108]","[41,68]","[104,87]","[74,95]","[108,56]"
J10,5,3,2,4,1,"[53,28]","[44,37]","[67,51]","[56,56]","[100,93]"
