Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,3,5,10,6,1,2,9,7,8,4,,"[53,70]","[100,153]","[116,80]","[40,45]","[37,29]","[88,100]","[121,103]","[54,60]","[70,56]","[70,62]"
J2,1,6,2,4,3,5,7,9,10,8,,"[114,133]","[135,82]","[89,103]","[106,98]","[79,72]","[118,75]","[57,52]","[77,70]","[122,91]","[50,37]"
J3,7,5,9,8,3,4,6,1,2,10,,"[87,63]","[99,114]","[75,70]","[122,100]","[78,162]","[75,69]","[92,138]","[95,93]","[83,109]","[77,97]"
J4,6,4,7,5,9,3,10,8,2,1,,"[61,44]","[60,58]","[65,72]","[108,93]","[138,134]","[108,87]","[89,93]","[40,47]","[33,47]","[74,88]"
J5,4,6,3,9,8,7,2,10,5,1,,"[109,119]","[105,69]","[57,68]","[59,60]","[94,96]","[88,67]","[52,62]","[117,121]","[33,42]","[50,53]"
J6,3,8,4,1,5,2,9,10,6,7,,"[78,57]","[100,119]","[73,62]","[37,24]","[54,35]","[72,59]","[92,91]","[63,83]","[91,89]","[120,123]"
J7,10,4,7,5,8,6,1,9,2,3,,"[71,82]","[35,39]","[117,131]","[89,75]","[88,61]","[38,54]","[55,67]","[44,53]","[56,75]","[117,112]"
J8,4,3,7,9,2,8,1,6,10,5,,"[120,58]","[48,46]","[97,81]","[101,55]","[66,51]","[146,68]","[49,50]","[44,48]","[111,75]","[86,104]"
J9,5,6,10,4,8,2,1,9,3,7,,"[58,67]","[45,45]","[137,95]","[25,44]","[45,53]","[39,41]","[72,93]","[51,63]","[43,68]","[62,51]"
J10,6,3,1,8,9,5,4,7,10,2,,"[39,22]","[128,125]","[75,82]","[57,61]","[72,91]","[92,103]","[87,116]","[91,103]","[89,139]","[95,79]"
J11,6,4,7,2,1,9,8,10,5,3,,"[61,84]","[98,102]","[71,89]","[86,74]","[34,34]","[61,56]","[67,61]","[106,64]","[71,127]","[53,60]"
J12,9,6,4,2,5,7,3,1,10,8,,"[30,46]","[122,153]","[92,60]","[56,63]","[27,13]","[99,70]","[34,51]","[43,35]","[80,85]","[40,52]"
J13,2,10,5,7,8,4,3,1,6,9,,"[140,95]","[37,41]","[116,87]","[34,42]","[77,71]","[103,101]","[92,84]","[41,36]","[63,74]","[41,79]"
J14,6,9,3,2,7,4,10,5,1,8,,"[55,63]","[130,80]","[41,35]","[99,107]","[98,73]","[69,109]","[67,90]","[112,91]","[47,51]","[46,69]"
J15,8,1,10,5,7,6,9,4,2,3,,"[32,33]","[57,71]","[40,40]","[99,120]","[46,44]","[46,58]","[108,113]","[44,51]","[85,75]","[83,77]"
J16,10,9,4,8,3,5,7,1,6,2,,"[51,41]","[100,91]","[113,106]","[79,93]","[66,65]","[63,61]","[56,30]","[71,59]","[67,81]","[36,48]"
J17,3,4,5,8,9,1,10,2,7,6,,"[114,74]","[79,115]","[103,103]","[36,33]","[112,68]","[45,60]","[74,58]","[121,113]","[92,106]","[83,77]"
J18,5,8,2,3,9,7,6,4,10,1,,"[50,59]","[50,104]","[63,35]","[80,70]","[61,68]","[94,89]","[61,74]","[69,119]","[103,91]","[26,38]"
J19,3,8,10,6,2,7,1,4,9,5,,"[78,90]","[39,46]","[87,56]","[71,57]","[142,122]","[60,54]","[66,85]","[121,77]","[79,77]","[67,62]"
J20,10,2,9,5,8,4,3,1,7,6,,"[68,74]","[76,97]","[75,79]","[108,118]","[105,101]","[114,102]","[68,83]","[114,130]","[51,67]","[93,126]"
J21,1,3,9,4,7,8,2,10,5,6,,"[42,64]","[140,94]","[60,36]","[48,55]","[102,108]","[104,73]","[91,60]","[165,100]","[117,103]","[70,54]"
J22,9,2,5,8,7,1,3,10,4,6,,"[75,61]","[127,122]","[93,87]","[63,64]","[64,44]","[32,70]","[138,124]","[101,43]","[76,94]","[69,77]"
J23,5,10,4,1,7,9,3,8,6,2,,"[47,69]","[35,25]","[60,98]","[114,75]","[67,94]","[57,59]","[46,62]","[96,58]","[64,58]","[98,54]"
J24,8,2,7,10,3,9,4,1,5,6,,"[75,127]","[53,47]","[121,71]","[112,126]","[90,85]","[56,78]","[75,95]","[106,95]","[84,70]","[56,50]"
J25,10,7,8,6,2,4,1,5,3,9,,"[86,86]","[99,82]","[107,79]","[88,64]","[78,122]","[109,98]","[94,109]","[78,121]","[57,59]","[60,41]"
J26,8,3,2,6,10,7,1,4,9,5,,"[61,150]","[94,72]","[48,45]","[39,37]","[76,56]","[47,62]","[102,80]","[34,38]","[86,90]","[36,35]"
J27,2,9,8,6,5,10,3,7,1,4,,"[156,77]","[24,40]","[51,57]","[82,87]","[33,52]","[87,94]","[148,133]","[43,47]","[90,70]","[105,114]"
J28,10,4,1,6,8,9,3,5,2,7,,"[108,83]","[116,91]","[99,99]","[32,49]","[78,61]","[99,113]","[133,100]","[91,102]","[113,145]","[28,66]"
J29,6,8,10,5,9,2,3,7,4,1,,"[51,49]","[69,67]","[152,91]","[45,31]","[67,64]","[33,49]","[58,79]","[45,57]","[49,55]","[57,70]"
J30,3,7,9,10,5,8,2,1,4,6,,"[95,118]","[71,77]","[119,111]","[136,115]","[75,111]","[118,73]","[95,115]","[87,77]","[26,22]","[76,79]"
J31,4,5,6,1,2,10,9,8,7,3,,"[68,60]","[47,70]","[108,97]","[52,52]","[54,50]","[43,64]","[83,66]","[62,94]","[57,70]","[33,19]"
J32,8,7,1,6,3,4,5,10,9,2,,"[143,114]","[55,38]","[96,83]","[57,55]","[166,94]","[66,58]","[67,67]","[34,32]","[36,43]","[76,65]"
J33,5,3,2,9,1,4,6,8,10,7,,"[46,57]","[91,55]","[22,47]","[57,112]","[50,64]","[113,91]","[138,92]","[69,89]","[47,80]","[55,62]"
J34,1,3,10,2,9,4,7,6,8,5,,"[78,68]","[95,83]","[68,59]","[40,26]","[81,118]","[95,69]","[43,39]","[94,75]","[49,31]","[164,103]"
J35,5,3,10,8,6,7,1,4,9,2,,"[41,60]","[138,117]","[105,103]","[82,101]","[77,72]","[54,36]","[119,93]","[65,87]","[35,38]","[78,76]"
J36,4,5,3,7,10,2,8,9,1,6,,"[122,95]","[102,57]","[168,73]","[59,65]","[51,73]","[94,99]","[97,99]","[117,78]","[99,87]","[86,67]"
J37,6,7,5,1,2,8,3,4,10,9,,"[26,29]","[80,86]","[41,46]","[44,57]","[81,86]","[59,70]","[52,33]","[87,111]","[80,118]","[62,62]"
J38,2,6,5,7,4,1,9,10,8,3,,"[107,59]","[71,101]","[95,103]","[39,36]","[60,74]","[61,69]","[77,77]","[42,31]","[54,81]","[148,106]"
J39,2,1,7,10,3,5,6,4,9,8,,"[70,84]","[89,116]","[69,69]","[63,59]","[97,84]","[134,111]","[71,108]","[117,102]","[117,143]","[91,76]"
J40,4,3,8,2,9,1,7,6,10,5,,"[115,93]","[80,142]","[31,81]","[55,63]","[91,112]","[55,46]","[61,35]","[75,92]","[87,71]","[100,61]"
J41,3,4,6,5,1,8,9,10,2,7,,"[52,67]","[84,72]","[47,21]","[91,116]","[112,113]","[100,106]","[63,89]","[81,75]","[86,103]","[102,97]"
J42,5,8,2,9,1,4,3,6,10,7,,"[69,78]","[110,73]","[71,87]","[37,20]","[48,49]","[128,95]","[74,114]","[37,39]","[79,104]","[143,108]"
J43,10,7,5,4,2,1,9,3,8,6,,"[68,64]","[45,69]","[47,40]","[43,74]","[98,101]","[46,53]","[81,86]","[100,92]","[35,29]","[92,103]"
J44,2,3,8,6,9,5,4,7,10,1,,"[53,50]","[66,47]","[119,129]","[44,35]","[73,99]","[26,56]","[76,82]","[123,136]","[120,126]","[64,68]"
