Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,9,2,5,8,1,6,10,4,3,7,,"[33,32,41,46]","[71,51,62,55]","[57,50,44,54]","[47,31,51,47]","[113,97,62,125]","[134,70,45,96]","[105,101,74,112]","[112,80,74,112]","[61,106,82,88]","[82,38,91,60]"
J2,3,4,8,5,2,9,10,1,6,7,,"[69,48,50,51]","[124,153,119,149]","[54,54,74,62]","[46,75,58,60]","[115,94,103,79]","[106,124,79,97]","[11,26,36,35]","[101,96,112,141]","[151,89,111,68]","[61,50,58,49]"
J3,8,5,4,2,3,9,10,7,6,1,,"[73,67,66,59]","[93,160,109,141]","[78,101,63,71]","[68,54,65,62]","[75,102,75,87]","[87,118,78,61]","[30,50,50,46]","[85,91,140,72]","[53,25,38,39]","[56,44,56,68]"
J4,5,6,1,3,7,4,2,8,10,9,,"[86,66,67,96]","[66,57,84,87]","[43,36,44,37]","[100,57,117,97]","[34,69,72,67]","[93,78,79,107]","[126,74,112,131]","[49,51,47,47]","[103,75,83,78]","[42,20,42,36]"
J5,7,3,1,8,10,9,4,6,2,5,,"[45,39,25,52]","[78,63,80,97]","[83,76,74,83]","[87,143,87,145]","[42,72,48,63]","[104,117,100,96]","[49,56,69,55]","[72,48,47,51]","[55,57,64,79]","[43,34,33,48]"
J6,8,10,1,7,5,9,3,6,2,4,,"[33,89,61,66]","[104,94,54,79]","[107,95,110,56]","[69,112,132,88]","[47,27,37,58]","[53,119,135,127]","[118,78,118,100]","[91,93,52,74]","[110,99,134,94]","[84,77,96,67]"
J7,7,9,4,1,2,5,6,10,3,8,,"[62,104,110,125]","[61,107,67,97]","[71,61,101,71]","[29,42,38,21]","[23,31,31,32]","[127,102,109,117]","[90,46,88,72]","[89,111,96,79]","[50,57,42,66]","[102,99,94,128]"
J8,2,4,6,5,1,3,7,9,10,8,,"[97,78,105,131]","[137,100,80,89]","[92,81,102,102]","[85,92,102,92]","[32,35,59,53]","[78,71,43,99]","[58,62,48,36]","[54,66,73,47]","[83,103,106,106]","[100,76,109,130]"
J9,2,8,5,7,6,1,9,4,10,3,,"[47,43,53,72]","[99,79,103,85]","[111,103,139,119]","[105,115,101,117]","[72,68,92,55]","[76,60,66,57]","[75,84,112,87]","[131,130,109,75]","[99,106,125,130]","[13,39,45,26]"
J10,8,3,9,6,2,7,4,1,10,5,,"[111,58,147,77]","[69,106,90,92]","[48,93,53,70]","[56,101,85,84]","[76,85,90,120]","[104,108,114,128]","[45,82,87,69]","[32,47,56,43]","[143,106,132,94]","[87,79,93,95]"
J11,9,1,5,6,10,2,8,7,4,3,,"[122,103,93,106]","[60,81,94,58]","[51,74,62,79]","[118,89,101,60]","[70,58,52,54]","[51,67,50,42]","[73,42,58,40]","[73,66,87,106]","[65,72,77,68]","[37,43,46,35]"
J12,7,3,9,2,10,5,8,1,6,4,,"[34,23,31,27]","[89,82,112,88]","[45,50,30,45]","[93,118,117,126]","[93,72,97,74]","[113,115,124,155]","[63,73,109,92]","[32,41,33,28]","[107,111,128,138]","[92,95,102,72]"
J13,9,8,6,4,3,5,10,2,1,7,,"[66,60,61,57]","[110,85,110,111]","[86,95,137,131]","[46,40,33,46]","[51,26,37,27]","[53,38,39,51]","[125,100,134,112]","[42,78,62,62]","[90,80,97,69]","[92,42,72,67]"
J14,5,1,10,6,8,4,3,9,7,2,,"[94,99,106,71]","[95,89,77,99]","[90,43,56,68]","[104,106,116,110]","[54,75,84,65]","[119,79,61,80]","[35,31,20,46]","[64,54,69,66]","[59,55,102,105]","[50,34,32,45]"
J15,10,1,4,9,2,7,3,6,5,8,,"[30,28,38,37]","[60,64,71,59]","[90,122,94,76]","[60,50,62,81]","[95,66,79,80]","[111,83,81,77]","[78,82,85,50]","[48,43,70,53]","[66,78,78,73]","[55,57,46,40]"
J16,8,4,5,6,3,7,1,10,2,9,,"[36,40,29,40]","[44,50,54,53]","[83,54,89,59]","[143,102,120,140]","[42,25,34,45]","[89,46,60,81]","[73,61,89,82]","[89,59,69,84]","[83,48,77,112]","[27,40,29,45]"
J17,1,4,3,8,9,6,10,2,7,5,,"[94,76,94,92]","[52,48,55,43]","[136,113,99,74]","[76,78,93,90]","[36,34,24,41]","[33,29,27,36]","[94,101,76,100]","[85,90,85,53]","[64,48,68,51]","[56,75,119,104]"
J18,10,2,4,7,3,9,8,1,6,5,,"[56,119,111,152]","[132,81,69,140]","[55,61,56,53]","[115,118,133,176]","[123,102,76,83]","[64,47,45,53]","[56,40,63,38]","[99,96,75,99]","[50,25,36,39]","[55,59,67,58]"
J19,5,3,6,7,9,8,4,2,1,10,,"[141,132,139,139]","[131,130,124,108]","[102,117,126,119]","[67,83,77,63]","[57,70,49,32]","[77,120,107,116]","[123,111,96,120]","[68,54,89,62]","[95,136,92,111]","[147,84,100,119]"
J20,3,6,10,9,1,7,4,8,2,5,,"[87,131,108,76]","[78,74,93,70]","[46,78,63,50]","[35,46,43,57]","[36,43,38,31]","[100,83,67,107]","[77,62,71,63]","[93,87,119,106]","[74,43,72,82]","[99,80,95,100]"
