Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,5,8,10,3,4,9,6,7,2,1,"[96,100,95,82,131]","[95,133,75,114,118]","[62,49,47,31,41]","[35,26,25,27,33]","[43,50,62,66,32]","[31,31,29,25,35]","[93,68,67,85,71]","[94,58,86,81,72]","[139,110,67,105,77]","[121,122,114,134,85]"
J2,9,6,2,8,3,4,7,10,5,1,"[91,86,62,85,65]","[72,75,82,76,68]","[85,54,68,63,106]","[63,83,38,96,47]","[83,67,66,89,61]","[71,69,99,62,80]","[44,64,68,58,78]","[48,28,24,34,31]","[40,34,32,36,26]","[61,82,97,74,57]"
J3,3,5,4,2,9,7,8,1,10,6,"[121,80,115,99,84]","[76,55,69,68,56]","[91,108,92,111,105]","[102,45,65,59,97]","[96,95,134,113,79]","[73,75,104,100,77]","[37,33,36,41,35]","[120,140,127,158,80]","[111,133,152,85,83]","[83,78,92,90,61]"
J4,1,9,4,8,6,3,5,7,2,10,"[90,59,75,52,79]","[92,126,108,107,93]","[83,76,79,73,82]","[66,48,54,45,55]","[54,37,49,53,37]","[70,121,113,80,64]","[102,150,72,144,123]","[86,99,113,92,92]","[77,64,97,104,62]","[102,69,87,71,84]"
J5,10,1,5,9,7,3,6,4,8,2,"[56,52,44,62,79]","[104,107,96,124,105]","[54,56,57,59,55]","[74,69,73,85,97]","[91,173,130,175,71]","[67,53,63,84,75]","[52,50,110,94,64]","[79,82,69,101,75]","[85,91,141,88,81]","[122,138,127,145,131]"
J6,4,3,6,1,8,5,9,2,7,10,"[39,65,67,47,49]","[57,102,97,69,98]","[62,43,61,57,46]","[78,75,122,108,86]","[114,112,86,84,113]","[53,64,77,82,89]","[59,61,65,56,42]","[40,60,119,98,61]","[70,129,113,107,51]","[47,38,38,32,62]"
J7,2,8,9,4,5,6,7,1,3,10,"[92,78,105,116,69]","[61,22,64,68,65]","[52,55,59,39,39]","[49,32,57,53,55]","[57,60,53,44,52]","[84,64,82,92,81]","[101,121,144,82,119]","[95,88,45,87,97]","[62,80,34,57,40]","[74,65,54,61,99]"
J8,2,8,3,1,9,7,4,10,6,5,"[99,97,60,95,70]","[55,55,44,49,60]","[61,86,71,61,63]","[78,72,59,75,91]","[42,45,25,45,43]","[91,126,126,128,134]","[93,119,117,80,120]","[25,36,43,43,41]","[30,60,46,47,51]","[123,104,92,77,100]"
J9,3,4,5,10,1,7,8,9,2,6,"[61,75,30,62,52]","[69,62,24,43,62]","[96,108,100,85,108]","[49,68,56,57,75]","[29,38,41,24,39]","[92,92,89,118,84]","[85,119,105,78,122]","[126,94,117,112,112]","[87,80,85,91,91]","[110,87,83,69,109]"
J10,2,1,6,4,10,8,9,3,7,5,"[37,30,47,41,38]","[41,40,37,44,34]","[85,76,82,71,91]","[67,76,56,47,55]","[163,94,119,130,145]","[59,77,76,61,65]","[101,65,70,78,101]","[103,115,116,55,70]","[27,42,26,45,27]","[73,52,59,74,70]"
