,,,,,,,,,,,,Processing Time
Job,Machine,,,,,,,,,,,"W1, W2"
J1,3,8,2,6,10,1,7,4,9,5,,"[106,119]"
J2,5,8,6,3,9,1,4,7,10,2,,"[112,105]"
J3,7,2,3,4,10,1,5,6,9,8,,"[47,61]"
J4,4,2,3,5,7,8,10,9,6,1,,"[106,129]"
J5,5,7,10,4,2,8,1,6,3,9,,"[31,54]"
J6,5,4,7,10,1,9,6,3,2,8,,"[61,39]"
J7,1,9,10,5,7,4,6,2,3,8,,"[61,47]"
J8,8,3,4,6,1,9,10,2,5,7,,"[48,78]"
J9,3,1,9,6,2,4,8,5,7,10,,"[77,59]"
J10,8,10,4,5,1,2,7,9,3,6,,"[117,119]"
J11,5,7,1,9,4,2,3,10,6,8,,"[95,71]"
J12,9,1,5,10,2,6,4,3,8,7,,"[41,39]"
J13,1,8,9,10,2,7,5,6,4,3,,"[105,109]"
J14,7,2,8,6,9,10,1,4,5,3,,"[85,67]"
J15,1,2,8,6,4,5,3,10,9,7,,"[96,87]"
J16,1,10,6,4,3,9,5,2,7,8,,"[122,109]"
J17,10,4,7,5,8,2,9,6,3,1,,"[66,66]"
J18,2,4,8,1,7,3,9,10,6,5,,"[101,153]"
J19,9,8,3,5,2,10,6,7,4,1,,"[122,69]"
J20,2,4,8,3,5,10,1,6,9,7,,"[78,121]"
J21,3,1,2,9,8,7,6,5,4,10,,"[55,73]"
J22,2,9,6,5,7,3,4,1,8,10,,"[84,80]"
J23,5,7,8,1,2,3,9,4,10,6,,"[68,93]"
J24,8,4,9,5,1,6,10,3,7,2,,"[119,40]"
J25,2,5,8,7,3,4,10,9,1,6,,"[109,64]"
J26,10,6,3,9,5,7,8,1,2,4,,"[105,96]"
J27,8,1,7,3,9,10,2,5,4,6,,"[88,94]"
J28,4,9,10,5,3,6,7,2,1,8,,"[60,64]"
J29,1,3,9,2,8,4,6,5,10,7,,"[86,53]"
J30,4,7,3,2,1,6,10,8,5,9,,"[38,44]"
