Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,3,5,10,6,1,2,9,7,8,4,"[38,25,27,38]","[55,42,35,47]","[108,143,117,95]","[42,52,51,45]","[80,96,66,111]","[110,116,77,76]","[55,54,41,27]","[92,76,59,78]","[47,71,50,59]","[73,61,77,85]"
J2,1,6,2,4,3,5,7,9,10,8,"[126,128,130,124]","[30,43,28,30]","[76,84,112,88]","[47,53,33,23]","[95,89,105,96]","[32,17,42,45]","[48,30,39,30]","[77,87,72,100]","[58,47,69,51]","[66,38,66,61]"
J3,7,5,9,8,3,4,6,1,2,10,"[50,45,73,54]","[55,63,61,47]","[50,42,44,49]","[104,100,107,77]","[42,43,49,41]","[99,50,56,37]","[74,75,68,62]","[103,91,141,123]","[30,29,38,61]","[122,111,82,101]"
J4,6,4,7,5,9,3,10,8,2,1,"[107,63,73,90]","[104,110,96,80]","[46,73,95,77]","[77,101,68,56]","[41,40,40,51]","[73,51,57,61]","[92,94,64,115]","[108,118,112,118]","[55,85,70,84]","[50,72,48,45]"
J5,4,6,3,9,8,7,2,10,5,1,"[38,38,64,57]","[67,67,61,58]","[92,101,91,131]","[52,48,56,65]","[90,87,123,138]","[96,87,130,101]","[90,158,100,103]","[65,52,46,50]","[49,60,49,72]","[67,55,43,58]"
J6,3,8,4,1,5,2,9,10,6,7,"[42,44,35,31]","[101,86,60,82]","[133,116,165,91]","[49,39,51,43]","[48,38,39,31]","[45,43,54,38]","[51,94,59,96]","[66,48,61,49]","[55,36,60,65]","[34,58,38,39]"
J7,10,4,7,5,8,6,1,9,2,3,"[38,41,24,31]","[60,70,84,62]","[57,82,72,56]","[40,25,36,37]","[59,63,60,82]","[50,55,60,46]","[93,92,97,87]","[114,116,80,90]","[47,56,43,62]","[69,51,45,56]"
J8,4,3,7,9,2,8,1,6,10,5,"[141,164,115,103]","[97,105,131,128]","[89,88,97,65]","[126,61,109,60]","[156,110,132,111]","[74,86,129,125]","[44,53,43,24]","[108,103,131,93]","[172,126,109,81]","[65,65,80,57]"
J9,5,6,10,4,8,2,1,9,3,7,"[100,178,114,93]","[65,63,64,73]","[60,57,51,54]","[63,74,60,68]","[67,63,69,71]","[51,69,45,47]","[89,72,55,92]","[56,39,48,31]","[46,45,52,53]","[94,98,134,129]"
J10,6,3,1,8,9,5,4,7,10,2,"[144,99,125,159]","[81,105,76,84]","[134,139,138,69]","[74,81,92,100]","[81,63,107,74]","[71,48,73,45]","[74,147,54,129]","[54,56,43,41]","[31,45,40,46]","[137,73,128,94]"
J11,6,4,7,2,1,9,8,10,5,3,"[37,58,55,62]","[95,106,83,89]","[27,26,28,39]","[58,52,43,69]","[41,39,50,60]","[25,21,25,36]","[59,38,25,42]","[28,68,57,60]","[49,59,54,47]","[121,146,88,169]"
J12,9,6,4,2,5,7,3,1,10,8,"[81,52,59,81]","[73,58,89,66]","[86,104,103,113]","[82,86,101,95]","[104,123,79,81]","[107,99,118,56]","[69,82,76,84]","[114,80,123,102]","[76,106,83,126]","[74,74,64,64]"
J13,2,10,5,7,8,4,3,1,6,9,"[60,78,69,68]","[102,63,56,87]","[76,78,98,86]","[91,51,65,65]","[70,73,73,95]","[122,63,60,73]","[72,69,64,67]","[39,32,42,53]","[93,118,129,57]","[55,42,54,47]"
J14,6,9,3,2,7,4,10,5,1,8,"[79,78,81,62]","[77,77,64,54]","[60,42,63,83]","[39,35,29,39]","[43,55,40,39]","[79,101,98,90]","[26,40,46,53]","[67,66,68,78]","[124,68,115,89]","[56,57,73,41]"
J15,8,1,10,5,7,6,9,4,2,3,"[44,34,28,37]","[168,135,98,103]","[73,60,50,60]","[139,116,107,140]","[60,72,71,65]","[46,79,57,50]","[87,65,67,88]","[52,71,35,48]","[108,86,115,127]","[55,69,48,67]"
J16,10,9,4,8,3,5,7,1,6,2,"[95,62,32,95]","[48,30,63,39]","[59,51,69,39]","[105,84,107,88]","[27,40,40,52]","[47,46,32,62]","[115,138,92,130]","[34,36,49,44]","[108,86,91,69]","[57,52,59,63]"
J17,3,4,5,8,9,1,10,2,7,6,"[99,87,123,106]","[30,40,32,33]","[23,40,62,53]","[33,54,33,31]","[114,132,121,135]","[75,84,104,87]","[64,59,65,64]","[75,96,95,113]","[34,28,28,33]","[81,46,87,95]"
J18,5,8,2,3,9,7,6,4,10,1,"[66,107,90,103]","[110,94,115,115]","[94,67,57,70]","[89,52,80,44]","[116,128,151,107]","[66,76,62,79]","[139,98,68,86]","[47,42,64,58]","[80,166,121,73]","[22,30,27,27]"
J19,3,8,10,6,2,7,1,4,9,5,"[77,56,66,79]","[40,35,41,32]","[119,80,85,85]","[58,53,40,51]","[85,107,97,60]","[66,68,69,54]","[116,88,65,107]","[84,76,72,62]","[86,66,94,67]","[63,57,47,59]"
J20,10,2,9,5,8,4,3,1,7,6,"[107,80,101,76]","[116,96,83,108]","[118,80,63,134]","[83,65,77,105]","[64,79,75,57]","[101,72,68,100]","[108,107,107,107]","[68,105,125,122]","[67,95,100,83]","[114,91,67,109]"
J21,1,3,9,4,7,8,2,10,5,6,"[40,58,70,56]","[46,37,49,35]","[104,89,113,125]","[99,121,112,74]","[62,78,69,73]","[60,74,78,72]","[116,98,110,118]","[110,93,73,83]","[63,60,77,51]","[70,93,86,64]"
J22,9,2,5,8,7,1,3,10,4,6,"[70,54,76,56]","[83,104,102,94]","[52,48,31,56]","[44,58,78,67]","[62,81,82,94]","[130,153,119,77]","[89,51,67,73]","[68,48,43,62]","[30,42,47,48]","[70,61,69,85]"
J23,5,10,4,1,7,9,3,8,6,2,"[80,82,59,98]","[88,142,117,85]","[63,69,57,76]","[63,75,75,62]","[57,39,77,68]","[95,68,84,68]","[105,77,103,97]","[95,79,99,79]","[111,82,132,86]","[69,76,82,74]"
J24,8,2,7,10,3,9,4,1,5,6,"[78,56,106,72]","[61,51,57,47]","[90,155,154,117]","[29,40,46,54]","[108,87,83,90]","[81,102,65,110]","[39,44,29,38]","[108,77,137,110]","[79,68,124,75]","[69,79,92,90]"
J25,10,7,8,6,2,4,1,5,3,9,"[98,76,48,118]","[55,65,111,127]","[90,117,99,101]","[129,117,107,117]","[29,28,37,28]","[80,110,78,67]","[42,52,54,60]","[97,75,118,91]","[84,99,133,117]","[34,38,42,47]"
J26,8,3,2,6,10,7,1,4,9,5,"[59,49,34,46]","[61,78,54,111]","[105,93,86,85]","[79,97,56,60]","[95,90,106,124]","[109,164,184,150]","[66,78,86,80]","[42,42,35,30]","[42,45,60,55]","[45,58,62,54]"
J27,2,9,8,6,5,10,3,7,1,4,"[74,79,46,37]","[105,92,83,96]","[99,87,81,95]","[77,81,95,69]","[143,100,59,70]","[76,87,83,92]","[114,74,95,94]","[126,131,119,152]","[86,45,81,60]","[46,34,41,37]"
J28,10,4,1,6,8,9,3,5,2,7,"[97,77,52,41]","[31,53,40,43]","[75,58,88,85]","[73,102,83,88]","[77,95,78,82]","[52,49,53,70]","[41,37,37,41]","[65,71,100,70]","[33,34,33,32]","[66,63,107,76]"
J29,6,8,10,5,9,2,3,7,4,1,"[20,31,30,53]","[94,86,48,105]","[89,111,79,113]","[101,113,135,130]","[129,80,101,67]","[50,52,51,50]","[56,34,47,29]","[70,51,65,76]","[32,49,30,44]","[64,52,79,75]"
J30,3,7,9,10,5,8,2,1,4,6,"[63,89,75,57]","[153,140,109,166]","[73,72,81,89]","[126,125,96,93]","[71,37,67,41]","[154,116,107,177]","[71,56,62,65]","[91,79,106,126]","[62,83,75,83]","[81,69,80,83]"
