,,,,,,,,,,,,Processing Time
Job,Machine,,,,,,,,,,,"W1, W2, W3"
J1,5,8,10,3,4,9,6,7,2,1,,"[84,64,60]"
J2,9,6,2,8,3,4,7,10,5,1,,"[77,39,106]"
J3,3,5,4,2,9,7,8,1,10,6,,"[60,39,43]"
J4,1,9,4,8,6,3,5,7,2,10,,"[42,42,61]"
J5,10,1,5,9,7,3,6,4,8,2,,"[101,104,89]"
J6,4,3,6,1,8,5,9,2,7,10,,"[136,119,108]"
J7,2,8,9,4,5,6,7,1,3,10,,"[98,130,122]"
J8,2,8,3,1,9,7,4,10,6,5,,"[91,138,118]"
J9,3,4,5,10,1,7,8,9,2,6,,"[83,72,47]"
J10,2,1,6,4,10,8,9,3,7,5,,"[42,48,40]"
J11,6,8,7,1,4,3,10,5,2,9,,"[95,93,93]"
J12,10,9,6,8,1,2,3,7,4,5,,"[98,101,97]"
J13,10,6,7,8,5,1,2,9,4,3,,"[120,92,116]"
J14,10,4,6,2,5,7,8,9,1,3,,"[20,39,24]"
J15,3,2,5,9,6,10,8,4,7,1,,"[112,89,101]"
J16,10,6,5,3,8,4,2,1,9,7,,"[52,41,57]"
J17,4,3,5,2,10,1,7,6,8,9,,"[58,74,69]"
J18,9,8,3,1,10,6,7,4,2,5,,"[48,58,55]"
J19,4,3,7,5,8,9,6,10,1,2,,"[117,147,128]"
J20,5,7,2,3,8,1,9,6,4,10,,"[104,153,92]"
J21,7,1,5,4,8,9,2,6,3,10,,"[63,49,59]"
J22,4,10,7,6,1,9,5,3,8,2,,"[58,38,37]"
J23,5,2,9,1,8,7,6,4,10,3,,"[37,50,70]"
J24,10,2,5,4,9,3,7,1,8,6,,"[76,57,46]"
J25,4,3,7,10,8,1,5,6,2,9,,"[51,84,100]"
J26,2,5,1,3,10,7,8,9,6,4,,"[114,183,123]"
J27,2,4,1,3,10,8,9,5,7,6,,"[132,70,79]"
J28,6,4,7,2,1,8,9,10,3,5,,"[91,155,90]"
J29,2,1,8,5,4,6,10,9,7,3,,"[97,68,97]"
J30,5,9,3,4,2,7,8,10,6,1,,"[51,39,45]"
J31,9,3,8,1,6,4,5,7,10,2,,"[121,101,100]"
J32,1,3,4,6,5,10,9,7,8,2,,"[132,113,102]"
J33,4,8,10,1,3,5,6,2,9,7,,"[134,94,107]"
J34,3,4,5,7,2,10,9,1,6,8,,"[146,118,111]"
J35,8,9,5,7,1,6,3,10,4,2,,"[46,35,38]"
J36,9,7,8,5,6,4,1,3,10,2,,"[35,45,43]"
J37,2,6,9,7,5,1,4,3,8,10,,"[70,102,96]"
J38,3,7,8,2,5,9,1,4,10,6,,"[106,151,84]"
J39,7,3,6,9,2,8,10,5,4,1,,"[79,89,87]"
J40,5,8,9,2,4,3,7,10,6,1,,"[65,44,56]"
J41,3,5,10,6,1,2,9,7,8,4,,"[62,78,59]"
J42,1,6,2,4,3,5,7,9,10,8,,"[70,73,58]"
J43,7,5,9,8,3,4,6,1,2,10,,"[124,140,113]"
J44,6,4,7,5,9,3,10,8,2,1,,"[60,39,56]"
J45,4,6,3,9,8,7,2,10,5,1,,"[72,72,79]"
J46,3,8,4,1,5,2,9,10,6,7,,"[72,74,66]"
J47,10,4,7,5,8,6,1,9,2,3,,"[107,97,70]"
J48,4,3,7,9,2,8,1,6,10,5,,"[105,113,73]"
J49,5,6,10,4,8,2,1,9,3,7,,"[38,47,36]"
J50,6,3,1,8,9,5,4,7,10,2,,"[70,60,52]"
