Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5
J1,1,5,2,4,3,,"[101,64]","[94,118]","[118,110]","[97,118]","[132,138]"
J2,1,2,5,4,3,,"[82,129]","[67,82]","[48,68]","[75,51]","[70,79]"
J3,4,1,3,2,5,,"[32,34]","[50,44]","[83,73]","[114,106]","[58,87]"
J4,1,2,5,4,3,,"[57,54]","[55,51]","[83,81]","[64,94]","[65,78]"
J5,4,2,1,3,5,,"[82,81]","[36,36]","[23,33]","[71,69]","[62,94]"
J6,2,3,1,5,4,,"[108,83]","[124,81]","[52,38]","[42,40]","[78,46]"
J7,3,2,1,5,4,,"[94,72]","[92,68]","[60,38]","[114,133]","[74,52]"
J8,3,4,5,1,2,,"[40,34]","[92,98]","[103,75]","[75,80]","[35,55]"
J9,5,1,3,2,4,,"[56,61]","[97,71]","[35,35]","[132,102]","[85,105]"
J10,5,1,2,4,3,,"[90,84]","[96,86]","[74,140]","[82,48]","[29,21]"
J11,5,1,2,3,4,,"[43,32]","[34,46]","[45,77]","[55,63]","[109,99]"
J12,4,3,1,5,2,,"[145,64]","[84,118]","[57,39]","[32,38]","[133,109]"
J13,5,2,1,3,4,,"[70,72]","[48,43]","[105,76]","[96,145]","[67,56]"
J14,5,1,4,3,2,,"[70,55]","[93,90]","[46,37]","[92,131]","[77,59]"
J15,5,2,1,3,4,,"[35,27]","[60,73]","[26,48]","[90,129]","[73,57]"
