Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,8,6,9,3,5,7,4,2,10,1,"[96,87,79,100]","[74,127,159,121]","[41,97,72,85]","[108,109,79,108]","[70,60,61,39]","[58,58,41,72]","[61,102,92,91]","[76,62,83,81]","[44,44,66,64]","[56,49,45,41]"
J2,7,2,5,6,3,4,8,9,10,1,"[46,43,62,36]","[29,34,36,33]","[104,79,87,88]","[153,111,130,132]","[101,88,88,54]","[48,32,40,23]","[98,51,54,40]","[78,75,113,90]","[101,123,128,108]","[70,88,91,76]"
J3,1,6,9,10,4,7,5,8,3,2,"[127,155,150,117]","[67,118,70,117]","[39,23,33,34]","[99,83,84,104]","[72,38,59,52]","[96,91,144,99]","[88,157,124,106]","[132,114,87,99]","[100,64,98,81]","[34,39,20,28]"
J4,6,3,4,7,5,8,9,10,2,1,"[77,93,54,57]","[121,116,107,114]","[109,111,105,96]","[50,44,54,41]","[33,27,43,43]","[50,30,33,56]","[32,29,27,41]","[60,71,48,61]","[50,64,39,50]","[56,55,70,49]"
J5,10,5,7,8,1,3,9,6,4,2,"[70,90,79,55]","[36,59,53,56]","[43,36,52,58]","[97,80,99,98]","[53,65,53,56]","[97,74,73,73]","[135,93,116,77]","[80,78,69,73]","[49,42,23,50]","[81,65,79,79]"
J6,7,6,2,8,9,5,1,3,10,4,"[85,100,100,94]","[57,47,48,51]","[51,89,92,94]","[58,61,47,50]","[88,128,80,100]","[44,46,41,41]","[69,59,68,71]","[114,95,128,120]","[71,47,66,89]","[86,89,86,64]"
J7,8,1,9,5,3,2,10,4,7,6,"[54,46,38,43]","[99,122,103,72]","[73,49,74,85]","[27,31,23,33]","[44,62,34,52]","[94,75,91,63]","[49,59,59,44]","[103,87,105,81]","[90,107,116,95]","[49,72,80,70]"
J8,4,6,10,2,9,3,5,7,1,8,"[73,72,55,78]","[71,71,82,77]","[161,122,97,136]","[84,81,62,92]","[88,92,57,74]","[107,125,121,63]","[98,49,55,90]","[81,88,125,91]","[98,105,93,138]","[58,68,44,60]"
J9,1,8,3,9,5,7,6,2,10,4,"[58,53,68,61]","[141,92,114,112]","[116,95,68,76]","[86,64,86,88]","[53,54,65,61]","[92,111,121,123]","[91,129,91,81]","[32,31,33,22]","[48,20,33,21]","[74,76,75,64]"
J10,3,2,8,7,5,1,6,4,10,9,"[37,69,54,49]","[100,95,102,61]","[46,47,24,59]","[145,135,60,158]","[28,37,29,36]","[52,41,51,57]","[53,49,55,75]","[44,37,51,43]","[112,120,120,128]","[71,81,82,79]"
J11,9,3,6,1,8,4,2,5,10,7,"[72,87,69,108]","[67,86,81,68]","[22,35,38,41]","[155,108,93,109]","[57,80,71,77]","[64,47,55,56]","[95,68,78,75]","[56,57,85,68]","[49,37,36,45]","[37,43,38,34]"
J12,3,10,1,2,9,7,4,8,6,5,"[66,75,65,59]","[34,49,59,35]","[57,70,76,87]","[73,65,74,82]","[34,54,48,61]","[95,79,115,88]","[44,52,41,44]","[88,139,137,120]","[92,88,88,113]","[39,48,27,44]"
J13,5,10,8,7,1,6,3,2,9,4,"[93,91,104,66]","[114,99,106,112]","[62,59,72,63]","[128,107,97,91]","[80,70,65,68]","[106,108,145,90]","[36,35,40,31]","[80,96,80,94]","[28,27,34,39]","[36,42,41,39]"
J14,3,6,7,5,4,10,8,2,9,1,"[38,50,47,59]","[128,123,101,81]","[67,43,53,62]","[61,51,41,46]","[57,45,58,59]","[45,41,43,47]","[94,67,99,116]","[89,112,110,105]","[149,158,139,141]","[39,50,44,49]"
J15,2,9,8,7,4,10,3,6,5,1,"[159,94,89,126]","[67,53,58,53]","[93,132,69,115]","[55,42,33,43]","[119,99,88,106]","[94,65,80,53]","[69,86,61,72]","[70,64,68,79]","[47,53,92,103]","[40,111,84,108]"
