Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,7,4,2,9,8,5,10,1,6,3,,"[95,119]","[48,63]","[69,47]","[69,35]","[59,59]","[28,39]","[64,75]","[91,108]","[118,88]","[105,140]"
J2,9,5,4,6,10,2,7,1,3,8,,"[45,53]","[99,144]","[38,36]","[59,51]","[77,59]","[101,92]","[94,95]","[87,46]","[57,94]","[97,104]"
J3,4,3,8,6,5,1,9,10,7,2,,"[44,64]","[64,61]","[100,125]","[58,52]","[23,27]","[93,107]","[92,45]","[68,84]","[50,67]","[115,105]"
J4,5,6,3,9,2,1,7,8,4,10,,"[39,41]","[53,69]","[82,126]","[64,44]","[74,72]","[117,122]","[43,62]","[42,24]","[51,115]","[27,34]"
J5,10,7,6,5,4,8,9,2,3,1,,"[145,58]","[78,99]","[35,44]","[77,117]","[85,66]","[120,82]","[103,93]","[41,29]","[92,75]","[85,93]"
J6,2,9,3,7,10,1,4,8,6,5,,"[43,55]","[59,78]","[53,37]","[68,131]","[52,54]","[45,34]","[105,96]","[87,70]","[96,88]","[94,97]"
J7,6,7,4,10,3,1,8,9,5,2,,"[93,125]","[109,76]","[125,134]","[114,97]","[57,56]","[67,78]","[43,39]","[33,36]","[60,68]","[87,53]"
J8,3,4,10,5,8,6,9,1,7,2,,"[54,49]","[98,92]","[97,113]","[58,52]","[70,58]","[118,89]","[57,52]","[48,45]","[28,42]","[112,107]"
J9,4,5,7,1,2,3,10,6,8,9,,"[63,91]","[58,103]","[41,35]","[86,57]","[80,98]","[32,58]","[64,71]","[48,38]","[55,35]","[26,30]"
J10,1,3,5,8,4,6,7,9,10,2,,"[72,46]","[82,151]","[112,102]","[36,30]","[113,111]","[118,119]","[70,95]","[60,41]","[39,44]","[36,35]"
J11,6,7,5,4,3,9,10,2,8,1,,"[88,86]","[71,40]","[49,44]","[71,88]","[58,59]","[85,69]","[85,55]","[61,47]","[89,110]","[108,143]"
J12,1,2,3,8,5,10,9,4,7,6,,"[32,34]","[108,110]","[49,47]","[101,106]","[125,110]","[96,76]","[87,126]","[42,32]","[68,86]","[56,41]"
J13,3,10,1,6,5,7,2,9,4,8,,"[69,39]","[63,88]","[112,123]","[49,38]","[60,53]","[114,141]","[77,77]","[72,60]","[69,68]","[124,92]"
J14,1,4,6,7,8,9,3,5,10,2,,"[38,27]","[106,123]","[65,58]","[60,35]","[106,88]","[45,52]","[54,98]","[147,119]","[106,96]","[105,81]"
J15,2,6,9,3,7,4,5,10,8,1,,"[108,47]","[110,158]","[92,90]","[117,100]","[74,76]","[107,60]","[116,88]","[67,27]","[116,103]","[121,154]"
J16,2,6,5,8,3,9,10,4,7,1,,"[71,90]","[29,44]","[85,106]","[46,43]","[58,48]","[73,108]","[54,36]","[102,86]","[79,86]","[141,91]"
J17,1,3,5,7,9,6,8,2,10,4,,"[93,96]","[48,41]","[25,41]","[141,152]","[119,168]","[55,64]","[73,59]","[36,29]","[92,102]","[44,59]"
J18,6,3,2,5,1,4,8,7,10,9,,"[111,158]","[99,53]","[59,78]","[89,93]","[44,35]","[72,64]","[47,81]","[81,78]","[68,86]","[66,84]"
J19,3,9,5,7,6,10,2,4,8,1,,"[71,56]","[96,78]","[100,69]","[30,15]","[95,91]","[96,149]","[62,169]","[93,100]","[45,56]","[76,74]"
J20,4,8,6,1,3,10,2,5,9,7,,"[56,96]","[108,123]","[54,60]","[47,86]","[55,61]","[61,39]","[75,114]","[52,34]","[72,103]","[103,89]"
