Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Machine_Op6,Machine_Op7,Machine_Op8,Machine_Op9,Machine_Op10,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5,Time_Op6,Time_Op7,Time_Op8,Time_Op9,Time_Op10
J1,3,4,6,5,1,8,9,10,2,7,,"[82,87,79]","[118,100,101]","[91,96,81]","[75,92,94]","[124,131,113]","[58,68,78]","[107,85,89]","[59,69,86]","[94,94,152]","[31,26,30]"
J2,5,8,2,9,1,4,3,6,10,7,,"[103,150,125]","[115,142,147]","[68,52,48]","[102,93,101]","[62,60,66]","[57,95,73]","[105,97,69]","[94,103,90]","[29,31,30]","[75,81,88]"
J3,10,7,5,4,2,1,9,3,8,6,,"[84,82,93]","[87,56,67]","[77,70,72]","[50,36,53]","[151,106,127]","[34,30,31]","[50,52,43]","[105,97,74]","[60,57,62]","[77,55,118]"
J4,2,3,8,6,9,5,4,7,10,1,,"[70,56,78]","[53,84,85]","[72,101,71]","[89,117,85]","[45,38,59]","[90,83,100]","[62,54,54]","[110,95,137]","[74,83,107]","[115,112,122]"
J5,7,2,4,1,3,9,5,8,10,6,,"[94,81,99]","[87,108,107]","[66,84,108]","[42,47,48]","[84,34,71]","[63,103,111]","[40,25,39]","[92,133,82]","[86,58,84]","[70,64,70]"
J6,8,6,9,3,5,7,4,2,10,1,,"[34,45,42]","[81,80,100]","[143,72,110]","[38,52,31]","[55,81,89]","[118,78,85]","[73,78,76]","[34,46,37]","[61,67,81]","[89,90,106]"
J7,7,2,5,6,3,4,8,9,10,1,,"[107,106,96]","[95,71,74]","[117,99,90]","[27,32,39]","[92,162,101]","[75,136,178]","[101,134,102]","[42,46,29]","[28,28,29]","[134,112,117]"
J8,1,6,9,10,4,7,5,8,3,2,,"[53,85,83]","[70,60,44]","[51,54,80]","[95,76,73]","[36,37,32]","[79,53,59]","[60,58,59]","[25,35,24]","[49,52,55]","[62,50,71]"
J9,6,3,4,7,5,8,9,10,2,1,,"[60,49,31]","[113,136,103]","[41,62,57]","[43,65,49]","[96,107,131]","[63,68,68]","[53,53,70]","[33,87,92]","[47,85,63]","[108,117,126]"
J10,10,5,7,8,1,3,9,6,4,2,,"[106,139,119]","[87,110,105]","[141,127,116]","[28,27,33]","[81,113,82]","[136,104,123]","[47,30,48]","[98,156,119]","[140,118,149]","[43,44,40]"
