,,,,,,,,,,,,Processing Time
Job,Machine,,,,,,,,,,,"W1, W2, W3"
J1,3,8,2,6,10,1,7,4,9,5,,"[24,29,28]"
J2,5,8,6,3,9,1,4,7,10,2,,"[95,62,74]"
J3,7,2,3,4,10,1,5,6,9,8,,"[58,63,67]"
J4,4,2,3,5,7,8,10,9,6,1,,"[65,62,77]"
J5,5,7,10,4,2,8,1,6,3,9,,"[55,84,74]"
J6,5,4,7,10,1,9,6,3,2,8,,"[76,76,101]"
J7,1,9,10,5,7,4,6,2,3,8,,"[102,87,76]"
J8,8,3,4,6,1,9,10,2,5,7,,"[80,82,71]"
J9,3,1,9,6,2,4,8,5,7,10,,"[58,23,39]"
J10,8,10,4,5,1,2,7,9,3,6,,"[115,71,88]"
J11,5,7,1,9,4,2,3,10,6,8,,"[44,44,49]"
J12,9,1,5,10,2,6,4,3,8,7,,"[117,160,86]"
J13,1,8,9,10,2,7,5,6,4,3,,"[77,80,93]"
J14,7,2,8,6,9,10,1,4,5,3,,"[92,84,111]"
J15,1,2,8,6,4,5,3,10,9,7,,"[101,128,127]"
J16,1,10,6,4,3,9,5,2,7,8,,"[107,104,93]"
J17,10,4,7,5,8,2,9,6,3,1,,"[34,34,32]"
J18,2,4,8,1,7,3,9,10,6,5,,"[75,126,127]"
J19,9,8,3,5,2,10,6,7,4,1,,"[39,39,33]"
J20,2,4,8,3,5,10,1,6,9,7,,"[119,121,88]"
J21,3,1,2,9,8,7,6,5,4,10,,"[108,98,115]"
J22,2,9,6,5,7,3,4,1,8,10,,"[58,64,66]"
J23,5,7,8,1,2,3,9,4,10,6,,"[64,73,77]"
J24,8,4,9,5,1,6,10,3,7,2,,"[79,94,81]"
J25,2,5,8,7,3,4,10,9,1,6,,"[78,73,83]"
J26,10,6,3,9,5,7,8,1,2,4,,"[118,51,88]"
J27,8,1,7,3,9,10,2,5,4,6,,"[109,82,115]"
J28,4,9,10,5,3,6,7,2,1,8,,"[145,105,93]"
J29,1,3,9,2,8,4,6,5,10,7,,"[54,75,69]"
J30,4,7,3,2,1,6,10,8,5,9,,"[63,42,56]"
J31,9,8,7,10,3,2,6,5,1,4,,"[98,71,82]"
J32,5,6,4,10,1,9,7,8,3,2,,"[93,119,100]"
J33,6,5,3,7,2,8,1,4,10,9,,"[140,148,118]"
J34,2,6,1,4,3,8,9,7,10,5,,"[52,46,35]"
J35,3,6,7,10,2,4,9,1,8,5,,"[28,38,42]"
J36,2,5,1,3,10,9,6,4,8,7,,"[27,54,45]"
J37,6,10,1,5,7,4,3,2,9,8,,"[123,114,112]"
J38,6,10,9,8,5,7,4,1,2,3,,"[110,77,66]"
J39,2,9,1,3,10,4,6,7,5,8,,"[58,54,45]"
J40,5,4,7,6,3,9,2,10,8,1,,"[73,92,88]"
J41,5,8,10,3,4,9,6,7,2,1,,"[46,39,53]"
J42,9,6,2,8,3,4,7,10,5,1,,"[77,105,79]"
J43,3,5,4,2,9,7,8,1,10,6,,"[48,89,55]"
J44,1,9,4,8,6,3,5,7,2,10,,"[101,78,127]"
J45,10,1,5,9,7,3,6,4,8,2,,"[57,52,45]"
J46,4,3,6,1,8,5,9,2,7,10,,"[76,103,77]"
J47,2,8,9,4,5,6,7,1,3,10,,"[94,61,87]"
J48,2,8,3,1,9,7,4,10,6,5,,"[55,44,57]"
J49,3,4,5,10,1,7,8,9,2,6,,"[107,95,118]"
J50,2,1,6,4,10,8,9,3,7,5,,"[41,43,60]"
J51,5,8,10,3,4,9,6,7,2,1,,"[55,66,57]"
J52,9,6,2,8,3,4,7,10,5,1,,"[106,127,73]"
J53,3,5,4,2,9,7,8,1,10,6,,"[120,85,78]"
J54,1,9,4,8,6,3,5,7,2,10,,"[54,26,49]"
J55,10,1,5,9,7,3,6,4,8,2,,"[81,85,84]"
J56,4,3,6,1,8,5,9,2,7,10,,"[135,67,139]"
J57,2,8,9,4,5,6,7,1,3,10,,"[26,33,44]"
J58,2,8,3,1,9,7,4,10,6,5,,"[51,50,64]"
J59,3,4,5,10,1,7,8,9,2,6,,"[73,75,48]"
J60,2,1,6,4,10,8,9,3,7,5,,"[90,110,112]"
J61,6,8,7,1,4,3,10,5,2,9,,"[105,114,64]"
J62,10,9,6,8,1,2,3,7,4,5,,"[142,94,79]"
J63,10,6,7,8,5,1,2,9,4,3,,"[103,98,129]"
J64,10,4,6,2,5,7,8,9,1,3,,"[37,45,33]"
J65,3,2,5,9,6,10,8,4,7,1,,"[88,74,73]"
J66,10,6,5,3,8,4,2,1,9,7,,"[90,139,107]"
J67,4,3,5,2,10,1,7,6,8,9,,"[99,75,87]"
J68,9,8,3,1,10,6,7,4,2,5,,"[27,39,41]"
J69,4,3,7,5,8,9,6,10,1,2,,"[32,29,31]"
J70,5,7,2,3,8,1,9,6,4,10,,"[101,86,88]"
J71,7,1,5,4,8,9,2,6,3,10,,"[88,88,53]"
J72,4,10,7,6,1,9,5,3,8,2,,"[77,67,62]"
J73,5,2,9,1,8,7,6,4,10,3,,"[83,55,74]"
J74,10,2,5,4,9,3,7,1,8,6,,"[76,110,87]"
J75,4,3,7,10,8,1,5,6,2,9,,"[41,27,35]"
J76,2,5,1,3,10,7,8,9,6,4,,"[82,63,89]"
J77,2,4,1,3,10,8,9,5,7,6,,"[65,45,71]"
