Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5
J1,2,1,5,4,3,,"[160,146,104]","[45,47,74]","[81,53,63]","[80,94,99]","[108,124,123]"
J2,1,4,5,3,2,,"[129,104,110]","[67,90,79]","[117,156,103]","[52,61,41]","[84,62,118]"
J3,4,5,2,3,1,,"[80,59,65]","[94,149,132]","[113,104,128]","[46,51,47]","[83,100,118]"
J4,2,1,5,3,4,,"[94,106,146]","[56,78,56]","[41,36,49]","[138,123,92]","[75,79,68]"
J5,1,4,3,2,5,,"[35,38,34]","[57,59,45]","[87,77,146]","[67,80,80]","[44,45,23]"
J6,2,3,5,1,4,,"[63,73,77]","[68,102,80]","[86,62,57]","[75,47,110]","[94,100,73]"
J7,4,5,2,3,1,,"[124,115,135]","[83,70,86]","[21,27,29]","[61,28,55]","[102,72,141]"
J8,3,1,2,4,5,,"[68,59,69]","[101,110,76]","[63,129,86]","[85,73,66]","[101,104,100]"
J9,4,2,5,1,3,,"[53,41,37]","[96,84,55]","[74,78,92]","[86,89,129]","[55,52,60]"
J10,5,4,3,2,1,,"[52,49,78]","[39,45,48]","[118,115,104]","[52,48,46]","[75,85,106]"
