Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5
J1,2,3,5,1,4,"[43,46,53]","[43,38,47]","[93,134,95]","[56,76,53]","[61,50,64]"
J2,4,5,2,3,1,"[87,89,123]","[48,40,49]","[76,69,82]","[82,66,69]","[47,43,30]"
J3,3,1,2,4,5,"[109,98,130]","[84,106,98]","[78,72,83]","[112,55,66]","[76,52,61]"
J4,4,2,5,1,3,"[99,70,115]","[76,50,45]","[79,21,57]","[83,68,62]","[111,91,89]"
J5,5,4,3,2,1,"[102,106,106]","[72,58,79]","[78,47,51]","[53,77,64]","[17,40,34]"
J6,3,2,1,4,5,"[121,149,163]","[112,104,162]","[61,53,44]","[49,64,35]","[137,136,119]"
J7,1,4,2,5,3,"[110,78,110]","[48,72,69]","[57,58,69]","[109,98,82]","[112,114,95]"
J8,1,2,3,5,4,"[84,92,130]","[40,32,41]","[75,68,78]","[31,29,25]","[113,130,111]"
J9,3,4,5,1,2,"[36,37,41]","[112,100,114]","[118,140,94]","[49,58,66]","[42,28,39]"
J10,1,5,4,2,3,"[150,75,102]","[31,33,30]","[47,49,38]","[86,97,105]","[42,36,35]"
J11,5,3,1,4,2,"[44,35,44]","[50,59,63]","[86,120,88]","[51,44,36]","[107,71,65]"
J12,1,5,3,2,4,"[46,40,40]","[87,80,80]","[98,69,84]","[74,68,61]","[91,73,62]"
J13,5,4,2,3,1,"[103,107,88]","[37,40,44]","[34,50,50]","[47,41,48]","[42,37,64]"
J14,5,2,1,3,4,"[36,36,54]","[52,46,50]","[25,33,36]","[48,55,59]","[60,75,70]"
J15,1,2,3,5,4,"[135,123,113]","[43,53,42]","[97,124,120]","[50,51,44]","[90,63,71]"
