Job,Machine_Op1,Machine_Op2,Machine_Op3,Machine_Op4,Machine_Op5,Time_Op1,Time_Op2,Time_Op3,Time_Op4,Time_Op5
J1,2,1,5,3,4,"[60,66]","[57,114]","[108,106]","[45,86]","[53,66]"
J2,4,5,2,1,3,"[101,91]","[82,86]","[20,20]","[102,76]","[112,76]"
J3,5,4,2,3,1,"[101,91]","[55,48]","[108,85]","[77,57]","[60,53]"
J4,2,4,5,3,1,"[83,122]","[45,30]","[98,122]","[45,51]","[39,37]"
J5,4,2,3,1,5,"[115,84]","[56,43]","[38,50]","[68,56]","[67,59]"
J6,2,3,4,1,5,"[55,40]","[71,69]","[56,63]","[123,103]","[102,95]"
J7,2,1,4,5,3,"[62,93]","[122,82]","[42,32]","[88,77]","[86,90]"
J8,4,5,3,1,2,"[42,35]","[85,75]","[106,119]","[85,67]","[81,61]"
J9,1,3,2,5,4,"[54,35]","[49,82]","[39,40]","[76,55]","[78,68]"
J10,1,5,4,3,2,"[77,63]","[75,46]","[91,112]","[47,44]","[82,81]"
J11,1,3,4,5,2,"[82,68]","[64,55]","[82,69]","[108,63]","[53,127]"
J12,2,4,5,3,1,"[91,81]","[77,118]","[34,32]","[95,92]","[39,31]"
J13,2,1,4,5,3,"[122,138]","[56,85]","[51,97]","[23,42]","[63,35]"
J14,3,5,1,4,2,"[95,113]","[117,93]","[160,142]","[62,71]","[144,154]"
J15,2,4,5,1,3,"[64,44]","[81,164]","[85,39]","[59,62]","[51,60]"
J16,4,3,1,5,2,"[142,64]","[48,44]","[117,93]","[124,131]","[141,66]"
J17,3,2,1,4,5,"[55,53]","[75,60]","[129,177]","[55,65]","[66,77]"
J18,2,4,1,5,3,"[99,103]","[79,81]","[78,97]","[127,130]","[80,102]"
J19,3,5,1,2,4,"[77,89]","[100,98]","[89,98]","[100,115]","[65,81]"
J20,3,5,4,2,1,"[76,56]","[143,116]","[86,86]","[79,79]","[94,52]"
