,,,,,,,,,,,,Processing Time
Job,Machine,,,,,,,,,,,"W1, W2, W3"
J1,3,8,2,6,10,1,7,4,9,5,,"[116,130,78]"
J2,5,8,6,3,9,1,4,7,10,2,,"[67,95,112]"
J3,7,2,3,4,10,1,5,6,9,8,,"[42,88,53]"
J4,4,2,3,5,7,8,10,9,6,1,,"[137,107,133]"
J5,5,7,10,4,2,8,1,6,3,9,,"[38,55,43]"
J6,5,4,7,10,1,9,6,3,2,8,,"[117,65,46]"
J7,1,9,10,5,7,4,6,2,3,8,,"[86,86,64]"
J8,8,3,4,6,1,9,10,2,5,7,,"[89,119,69]"
J9,3,1,9,6,2,4,8,5,7,10,,"[56,37,47]"
J10,8,10,4,5,1,2,7,9,3,6,,"[116,120,93]"
J11,5,7,1,9,4,2,3,10,6,8,,"[57,47,62]"
J12,9,1,5,10,2,6,4,3,8,7,,"[54,76,72]"
J13,1,8,9,10,2,7,5,6,4,3,,"[88,78,55]"
J14,7,2,8,6,9,10,1,4,5,3,,"[76,58,64]"
J15,1,2,8,6,4,5,3,10,9,7,,"[116,104,81]"
J16,1,10,6,4,3,9,5,2,7,8,,"[50,79,68]"
J17,10,4,7,5,8,2,9,6,3,1,,"[50,56,68]"
J18,2,4,8,1,7,3,9,10,6,5,,"[54,50,50]"
J19,9,8,3,5,2,10,6,7,4,1,,"[112,123,133]"
J20,2,4,8,3,5,10,1,6,9,7,,"[40,69,67]"
J21,3,1,2,9,8,7,6,5,4,10,,"[82,53,127]"
J22,2,9,6,5,7,3,4,1,8,10,,"[93,76,100]"
J23,5,7,8,1,2,3,9,4,10,6,,"[141,158,142]"
J24,8,4,9,5,1,6,10,3,7,2,,"[45,28,52]"
J25,2,5,8,7,3,4,10,9,1,6,,"[41,48,36]"
J26,10,6,3,9,5,7,8,1,2,4,,"[111,78,88]"
J27,8,1,7,3,9,10,2,5,4,6,,"[81,127,103]"
J28,4,9,10,5,3,6,7,2,1,8,,"[64,108,80]"
J29,1,3,9,2,8,4,6,5,10,7,,"[86,115,114]"
J30,4,7,3,2,1,6,10,8,5,9,,"[82,96,116]"
