,,,,,,,,,,,,Processing Time
Job,Machine,,,,,,,,,,,"W1, W2, W3"
J1,9,3,8,1,6,4,5,7,10,2,,"[25,35,51]"
J2,1,3,4,6,5,10,9,7,8,2,,"[22,46,31]"
J3,4,8,10,1,3,5,6,2,9,7,,"[46,52,35]"
J4,3,4,5,7,2,10,9,1,6,8,,"[124,108,119]"
J5,8,9,5,7,1,6,3,10,4,2,,"[27,28,28]"
J6,9,7,8,5,6,4,1,3,10,2,,"[72,73,61]"
J7,2,6,9,7,5,1,4,3,8,10,,"[101,76,82]"
J8,3,7,8,2,5,9,1,4,10,6,,"[35,70,42]"
J9,7,3,6,9,2,8,10,5,4,1,,"[57,59,65]"
J10,5,8,9,2,4,3,7,10,6,1,,"[64,70,44]"
J11,3,5,10,6,1,2,9,7,8,4,,"[119,142,77]"
J12,1,6,2,4,3,5,7,9,10,8,,"[64,50,44]"
J13,7,5,9,8,3,4,6,1,2,10,,"[122,94,127]"
J14,6,4,7,5,9,3,10,8,2,1,,"[78,105,88]"
J15,4,6,3,9,8,7,2,10,5,1,,"[34,41,45]"
J16,3,8,4,1,5,2,9,10,6,7,,"[59,61,59]"
J17,10,4,7,5,8,6,1,9,2,3,,"[32,35,42]"
J18,4,3,7,9,2,8,1,6,10,5,,"[97,108,129]"
J19,5,6,10,4,8,2,1,9,3,7,,"[51,82,64]"
J20,6,3,1,8,9,5,4,7,10,2,,"[113,116,133]"
