,,,,,,,,,,,,Processing Time
Job,Machine,,,,,,,,,,,"W1, W2"
J1,9,3,8,1,6,4,5,7,10,2,,"[92,139]"
J2,1,3,4,6,5,10,9,7,8,2,,"[67,78]"
J3,4,8,10,1,3,5,6,2,9,7,,"[91,78]"
J4,3,4,5,7,2,10,9,1,6,8,,"[111,88]"
J5,8,9,5,7,1,6,3,10,4,2,,"[38,58]"
J6,9,7,8,5,6,4,1,3,10,2,,"[87,55]"
J7,2,6,9,7,5,1,4,3,8,10,,"[96,122]"
J8,3,7,8,2,5,9,1,4,10,6,,"[51,42]"
J9,7,3,6,9,2,8,10,5,4,1,,"[97,97]"
J10,5,8,9,2,4,3,7,10,6,1,,"[88,96]"
J11,3,5,10,6,1,2,9,7,8,4,,"[46,43]"
J12,1,6,2,4,3,5,7,9,10,8,,"[32,46]"
J13,7,5,9,8,3,4,6,1,2,10,,"[86,98]"
J14,6,4,7,5,9,3,10,8,2,1,,"[42,41]"
J15,4,6,3,9,8,7,2,10,5,1,,"[95,93]"
J16,3,8,4,1,5,2,9,10,6,7,,"[65,72]"
J17,10,4,7,5,8,6,1,9,2,3,,"[89,98]"
J18,4,3,7,9,2,8,1,6,10,5,,"[74,75]"
J19,5,6,10,4,8,2,1,9,3,7,,"[32,33]"
J20,6,3,1,8,9,5,4,7,10,2,,"[51,67]"
J21,9,2,5,8,1,6,10,4,3,7,,"[95,108]"
J22,3,4,8,5,2,9,10,1,6,7,,"[103,117]"
J23,8,5,4,2,3,9,10,7,6,1,,"[117,120]"
J24,5,6,1,3,7,4,2,8,10,9,,"[95,67]"
J25,7,3,1,8,10,9,4,6,2,5,,"[50,92]"
J26,8,10,1,7,5,9,3,6,2,4,,"[24,30]"
J27,7,9,4,1,2,5,6,10,3,8,,"[34,72]"
J28,2,4,6,5,1,3,7,9,10,8,,"[68,50]"
J29,2,8,5,7,6,1,9,4,10,3,,"[86,108]"
J30,8,3,9,6,2,7,4,1,10,5,,"[102,93]"
J31,9,1,5,6,10,2,8,7,4,3,,"[94,55]"
J32,7,3,9,2,10,5,8,1,6,4,,"[112,96]"
J33,9,8,6,4,3,5,10,2,1,7,,"[51,62]"
J34,5,1,10,6,8,4,3,9,7,2,,"[26,44]"
J35,10,1,4,9,2,7,3,6,5,8,,"[180,134]"
J36,8,4,5,6,3,7,1,10,2,9,,"[74,89]"
J37,1,4,3,8,9,6,10,2,7,5,,"[79,73]"
J38,10,2,4,7,3,9,8,1,6,5,,"[39,66]"
J39,5,3,6,7,9,8,4,2,1,10,,"[39,64]"
J40,3,6,10,9,1,7,4,8,2,5,,"[129,167]"
J41,4,5,6,1,2,10,9,8,7,3,,"[72,75]"
J42,8,7,1,6,3,4,5,10,9,2,,"[82,90]"
J43,5,3,2,9,1,4,6,8,10,7,,"[98,96]"
J44,1,3,10,2,9,4,7,6,8,5,,"[64,94]"
J45,5,3,10,8,6,7,1,4,9,2,,"[70,47]"
J46,4,5,3,7,10,2,8,9,1,6,,"[43,50]"
J47,6,7,5,1,2,8,3,4,10,9,,"[65,91]"
J48,2,6,5,7,4,1,9,10,8,3,,"[85,71]"
J49,2,1,7,10,3,5,6,4,9,8,,"[66,71]"
J50,4,3,8,2,9,1,7,6,10,5,,"[28,41]"
